ba,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p1,0.007,0.33,0.436,0.073,0.0,0.225,0.28,0.01,0.0,0.1,0.133,0.001,0.003,0.267,0.338,0.037,0.449
p10,0.002,0.434,0.492,0.031,0.0,0.388,0.369,0.004,0.0,0.29,0.273,0.001,0.001,0.415,0.453,0.018,0.47
p100,0.002,0.383,0.327,0.027,0.0,0.324,0.231,0.005,0.0,0.247,0.186,0.001,0.001,0.367,0.302,0.019,0.284
p101,0.0,0.357,0.351,0.028,0.0,0.328,0.317,0.01,0.0,0.285,0.321,0.008,0.0,0.387,0.421,0.03,0.249
p102,0.0,0.361,0.35,0.026,0.0,0.33,0.299,0.008,0.0,0.291,0.308,0.006,0.0,0.393,0.405,0.023,0.271
p103,0.001,0.32,0.435,0.066,0.0,0.243,0.309,0.016,0.0,0.144,0.214,0.005,0.0,0.3,0.401,0.046,0.431
p104,0.001,0.278,0.499,0.094,0.0,0.209,0.392,0.032,0.0,0.106,0.255,0.012,0.0,0.242,0.454,0.07,0.514
p105,0.001,0.335,0.428,0.054,0.0,0.275,0.328,0.015,0.0,0.168,0.236,0.006,0.001,0.308,0.389,0.038,0.39
p106,0.0,0.329,0.448,0.061,0.0,0.275,0.352,0.019,0.0,0.162,0.257,0.006,0.0,0.296,0.407,0.042,0.383
p107,0.002,0.348,0.425,0.046,0.0,0.298,0.329,0.011,0.0,0.184,0.238,0.004,0.001,0.315,0.378,0.03,0.381
p108,0.005,0.411,0.349,0.02,0.0,0.352,0.244,0.002,0.0,0.225,0.179,0.0,0.002,0.374,0.317,0.01,0.321
p109,0.0,0.34,0.391,0.048,0.0,0.295,0.316,0.013,0.0,0.196,0.241,0.004,0.0,0.313,0.35,0.033,0.364
p11,0.002,0.461,0.47,0.02,0.0,0.431,0.356,0.002,0.0,0.32,0.266,0.0,0.001,0.447,0.438,0.011,0.472
p110,0.001,0.29,0.429,0.064,0.0,0.244,0.367,0.018,0.0,0.161,0.28,0.007,0.0,0.265,0.389,0.044,0.424
p111,0.001,0.334,0.418,0.05,0.0,0.272,0.309,0.011,0.0,0.166,0.214,0.003,0.0,0.311,0.381,0.033,0.395
p112,0.001,0.342,0.384,0.047,0.0,0.281,0.29,0.012,0.0,0.168,0.201,0.004,0.0,0.314,0.341,0.032,0.367
p113,0.001,0.336,0.407,0.054,0.0,0.281,0.318,0.014,0.0,0.176,0.231,0.005,0.0,0.305,0.36,0.036,0.386
p114,0.001,0.332,0.393,0.057,0.0,0.261,0.278,0.017,0.0,0.157,0.189,0.006,0.0,0.299,0.33,0.04,0.363
p115,0.001,0.337,0.385,0.042,0.0,0.278,0.288,0.008,0.0,0.178,0.212,0.002,0.0,0.314,0.345,0.027,0.359
p116,0.001,0.343,0.375,0.038,0.0,0.3,0.295,0.009,0.0,0.205,0.237,0.003,0.0,0.324,0.337,0.026,0.356
p117,0.0,0.343,0.383,0.04,0.0,0.295,0.301,0.01,0.0,0.2,0.239,0.003,0.0,0.319,0.342,0.026,0.378
p118,0.001,0.334,0.386,0.047,0.0,0.291,0.334,0.014,0.0,0.224,0.292,0.006,0.001,0.318,0.37,0.036,0.358
p119,0.002,0.355,0.387,0.035,0.0,0.281,0.282,0.005,0.0,0.196,0.217,0.001,0.001,0.335,0.355,0.022,0.341
p12,0.006,0.503,0.467,0.031,0.0,0.446,0.355,0.003,0.0,0.284,0.244,0.001,0.003,0.469,0.426,0.018,0.379
p120,0.002,0.377,0.325,0.025,0.0,0.316,0.237,0.005,0.0,0.239,0.192,0.001,0.001,0.364,0.313,0.017,0.257
p121,0.002,0.33,0.408,0.045,0.0,0.273,0.305,0.009,0.0,0.193,0.254,0.003,0.001,0.31,0.377,0.032,0.339
p122,0.003,0.374,0.343,0.031,0.0,0.301,0.245,0.005,0.0,0.217,0.193,0.001,0.001,0.353,0.319,0.021,0.313
p123,0.002,0.371,0.377,0.034,0.0,0.306,0.287,0.006,0.0,0.229,0.241,0.001,0.001,0.346,0.362,0.024,0.367
p124,0.002,0.362,0.416,0.034,0.0,0.312,0.321,0.005,0.0,0.233,0.263,0.001,0.001,0.35,0.403,0.023,0.408
p125,0.003,0.349,0.37,0.033,0.0,0.317,0.302,0.006,0.0,0.247,0.261,0.002,0.001,0.346,0.377,0.022,0.402
p126,0.003,0.364,0.35,0.03,0.0,0.308,0.265,0.004,0.0,0.226,0.207,0.001,0.002,0.349,0.34,0.019,0.357
p127,0.003,0.368,0.363,0.029,0.0,0.307,0.264,0.004,0.0,0.22,0.203,0.0,0.002,0.343,0.336,0.017,0.337
p128,0.004,0.411,0.302,0.023,0.0,0.36,0.225,0.003,0.0,0.265,0.177,0.0,0.003,0.4,0.289,0.014,0.286
p129,0.006,0.361,0.327,0.03,0.0,0.285,0.238,0.004,0.0,0.196,0.166,0.0,0.003,0.35,0.317,0.018,0.355
p13,0.004,0.509,0.43,0.017,0.0,0.465,0.331,0.001,0.0,0.35,0.251,0.0,0.003,0.518,0.423,0.009,0.403
p130,0.007,0.349,0.342,0.032,0.0,0.294,0.255,0.003,0.0,0.212,0.188,0.0,0.004,0.343,0.329,0.018,0.357
p131,0.006,0.356,0.341,0.031,0.0,0.3,0.25,0.003,0.0,0.217,0.185,0.0,0.004,0.346,0.323,0.018,0.342
p132,0.006,0.317,0.362,0.041,0.001,0.248,0.255,0.005,0.0,0.174,0.188,0.001,0.003,0.296,0.331,0.025,0.351
p133,0.005,0.395,0.329,0.022,0.0,0.343,0.224,0.002,0.0,0.242,0.177,0.0,0.002,0.377,0.304,0.011,0.362
p134,0.007,0.337,0.354,0.036,0.001,0.269,0.248,0.003,0.0,0.183,0.172,0.0,0.005,0.323,0.34,0.02,0.418
p14,0.007,0.455,0.414,0.028,0.0,0.342,0.255,0.001,0.0,0.164,0.13,0.0,0.003,0.372,0.321,0.013,0.394
p15,0.002,0.414,0.515,0.073,0.0,0.337,0.402,0.018,0.0,0.167,0.221,0.005,0.001,0.349,0.431,0.049,0.459
p16,0.003,0.437,0.497,0.054,0.0,0.366,0.404,0.011,0.0,0.175,0.211,0.003,0.001,0.378,0.437,0.037,0.463
p17,0.003,0.434,0.417,0.052,0.0,0.312,0.279,0.01,0.0,0.174,0.163,0.001,0.001,0.359,0.345,0.034,0.35
p18,0.003,0.421,0.452,0.053,0.0,0.305,0.325,0.008,0.0,0.171,0.195,0.001,0.001,0.351,0.389,0.034,0.456
p19,0.012,0.418,0.379,0.061,0.0,0.344,0.273,0.008,0.0,0.182,0.13,0.001,0.007,0.374,0.324,0.038,0.406
p2,0.005,0.44,0.437,0.036,0.0,0.35,0.296,0.003,0.0,0.167,0.155,0.0,0.002,0.379,0.353,0.019,0.411
p20,0.004,0.423,0.419,0.039,0.0,0.337,0.307,0.005,0.0,0.221,0.203,0.001,0.002,0.368,0.352,0.024,0.404
p21,0.005,0.421,0.472,0.056,0.0,0.359,0.401,0.012,0.0,0.21,0.262,0.002,0.002,0.38,0.459,0.041,0.427
p22,0.022,0.496,0.259,0.052,0.001,0.335,0.166,0.011,0.0,0.196,0.116,0.002,0.011,0.42,0.227,0.038,0.234
p23,0.006,0.483,0.393,0.036,0.0,0.362,0.276,0.004,0.0,0.217,0.164,0.0,0.003,0.412,0.345,0.021,0.351
p24,0.007,0.498,0.334,0.031,0.0,0.431,0.26,0.005,0.0,0.269,0.204,0.001,0.003,0.451,0.325,0.02,0.267
