r,BATTERY|PVB,COAL|BIO,COMBINED_CYCLE,COMBUSTION_TURBINE|CONSUME|LFILL|OGS,NUCLEAR,TES|CSP
p01001,0.0113,-0.0237,-0.0236,-0.0204,0,0
p01003,0.0004,-0.0451,-0.0333,-0.0317,0,0
p01005,0.0086,-0.0331,-0.0294,-0.0245,0,0
p01007,0.0137,-0.0222,-0.0227,-0.0202,0,0
p01009,0.0133,-0.0229,-0.0246,-0.0232,0,0
p01011,0.0108,-0.0277,-0.0263,-0.0222,0,0
p01013,0.0077,-0.0337,-0.0288,-0.0251,0,0
p01015,0.0159,-0.0115,-0.0177,-0.0159,0,0
p01017,0.0162,-0.0081,-0.0153,-0.0131,0,0
p01019,0.0161,-0.011,-0.0175,-0.016,0,0
p01021,0.0129,-0.0214,-0.0224,-0.0197,0,0
p01023,0.0076,-0.035,-0.0285,-0.0265,0,0
p01025,0.0057,-0.0373,-0.0298,-0.0275,0,0
p01027,0.0157,-0.0105,-0.0169,-0.0148,0,0
p01029,0.0175,-0.0026,-0.0126,-0.0109,0,0
p01031,0.0062,-0.0394,-0.0325,-0.0274,0,0
p01033,0.0192,-0.0165,-0.0195,-0.0169,0,0
p01035,0.0055,-0.0374,-0.0303,-0.0271,0,0
p01037,0.0141,-0.0176,-0.0206,-0.018,0,0
p01039,0.0057,-0.0395,-0.0321,-0.0278,0,0
p01041,0.0086,-0.0341,-0.0293,-0.0253,0,0
p01043,0.013,-0.0248,-0.0259,-0.0247,0,0
p01045,0.005,-0.0421,-0.0341,-0.0283,0,0
p01047,0.0101,-0.0284,-0.0257,-0.0227,0,0
p01049,0.0137,-0.0189,-0.0223,-0.0208,0,0
p01051,0.0132,-0.0204,-0.0221,-0.0189,0,0
p01053,0.0039,-0.0401,-0.0316,-0.0286,0,0
p01055,0.0143,-0.0179,-0.0217,-0.0202,0,0
p01057,0.0154,-0.0224,-0.0231,-0.0209,0,0
p01059,0.019,-0.0162,-0.0196,-0.017,0,0
p01061,0.0034,-0.0452,-0.0356,-0.0299,0,0
p01063,0.0133,-0.0253,-0.0241,-0.0214,0,0
p01065,0.0129,-0.0252,-0.0239,-0.0214,0,0
p01067,0.0047,-0.0425,-0.0345,-0.0284,0,0
p01069,0.0004,-0.051,-0.0391,-0.0321,0,0
p01071,0.0131,-0.0234,-0.025,-0.0239,0,0
p01073,0.0146,-0.0208,-0.0226,-0.0207,0,0
p01075,0.0162,-0.0225,-0.023,-0.02,0,0
p01077,0.0189,-0.0175,-0.0201,-0.0177,0,0
p01079,0.0148,-0.0231,-0.0246,-0.0232,0,0
p01081,0.0148,-0.0137,-0.0185,-0.0155,0,0
p01083,0.0125,-0.0264,-0.0271,-0.0263,0,0
p01085,0.0103,-0.0284,-0.0262,-0.0228,0,0
p01087,0.013,-0.0205,-0.0223,-0.0188,0,0
p01089,0.0106,-0.029,-0.0292,-0.029,0,0
p01091,0.0097,-0.0306,-0.0265,-0.024,0,0
p01093,0.0176,-0.019,-0.0211,-0.0188,0,0
p01095,0.0118,-0.026,-0.027,-0.0262,0,0
p01097,-0.0027,-0.0494,-0.0352,-0.0342,0,0
p01099,0.0056,-0.037,-0.0299,-0.0272,0,0
p01101,0.0117,-0.0264,-0.0252,-0.0216,0,0
p01103,0.0119,-0.0272,-0.0278,-0.0272,0,0
p01105,0.0124,-0.0249,-0.0239,-0.0213,0,0
p01107,0.0148,-0.0236,-0.0233,-0.0207,0,0
p01109,0.0086,-0.0337,-0.0295,-0.0248,0,0
p01111,0.0172,-0.0032,-0.0127,-0.0109,0,0
p01113,0.0125,-0.0212,-0.0227,-0.0186,0,0
p01115,0.0141,-0.0178,-0.0211,-0.0197,0,0
p01117,0.0143,-0.0189,-0.0213,-0.0193,0,0
p01119,0.0119,-0.0279,-0.0252,-0.0227,0,0
p01121,0.0143,-0.0143,-0.0187,-0.0169,0,0
p01123,0.0152,-0.0141,-0.0186,-0.016,0,0
p01125,0.0145,-0.0224,-0.023,-0.0208,0,0
p01127,0.0147,-0.0225,-0.0238,-0.0219,0,0
p01129,0.0027,-0.042,-0.0317,-0.0302,0,0
p01131,0.0082,-0.0327,-0.0278,-0.0249,0,0
p01133,0.0145,-0.0238,-0.0248,-0.0231,0,0
p04001,0.022,0.0572,0.0275,0.0253,0,0
p04003,0.0154,0.0629,0.0322,0.0297,0,0
p04005,0.0307,0.0929,0.0538,0.0492,0,0
p04007,0.0033,0.0484,0.0224,0.0212,0,0
p04009,0.0111,0.0554,0.0269,0.025,0,0
p04011,0.0167,0.0568,0.0272,0.0252,0,0
p04012,0.0286,0.1107,0.0659,0.0603,0,0
p04013,-0.0023,0.0452,0.0204,0.0194,0,0
p04015,0.054,0.1492,0.0936,0.0853,0,0
p04017,0.0201,0.0634,0.0327,0.03,0,0
p04019,0.0088,0.0645,0.0335,0.0311,0,0
p04021,-0.0018,0.0433,0.0191,0.0181,0,0
p04023,0.0153,0.0728,0.0391,0.0361,0,0
p04025,0.0163,0.0787,0.0437,0.0404,0,0
p04027,0.0255,0.1072,0.0634,0.0581,0,0
p05001,0.028,-0.0236,-0.0249,-0.0168,0,0
p05003,0.0222,-0.0268,-0.0262,-0.0198,0,0
p05005,0.0278,0.0082,-0.0035,0.0009,0,0
p05007,0.0161,0.0068,-0.0036,-0.0022,0,0
p05009,0.0241,0.0052,-0.005,-0.0014,0,0
p05011,0.0246,-0.0272,-0.027,-0.0195,0,0
p05013,0.0248,-0.028,-0.0272,-0.0198,0,0
p05015,0.0212,0.0077,-0.0034,-0.0005,0,0
p05017,0.0225,-0.0251,-0.0247,-0.0189,0,0
p05019,0.025,-0.0254,-0.0261,-0.0183,0,0
p05021,0.0353,0.0293,0.0112,0.0144,0,0
p05023,0.029,-0.0175,-0.0211,-0.0132,0,0
p05025,0.0272,-0.0276,-0.0277,-0.019,0,0
p05027,0.0181,-0.0318,-0.0296,-0.0235,0,0
p05029,0.029,-0.0241,-0.0257,-0.0169,0,0
p05031,0.0319,0.0094,-0.0024,0.0024,0,0
p05033,0.0169,-0.0101,-0.0152,-0.0114,0,0
p05035,0.0294,-0.0022,-0.0099,-0.0047,0,0
p05037,0.0296,-0.0077,-0.0137,-0.0077,0,0
p05039,0.027,-0.028,-0.0282,-0.0194,0,0
p05041,0.0257,-0.0238,-0.0247,-0.0175,0,0
p05043,0.0248,-0.0262,-0.0262,-0.019,0,0
p05045,0.0296,-0.0267,-0.0275,-0.0182,0,0
p05047,0.0206,-0.0115,-0.0162,-0.0115,0,0
p05049,0.0301,0.0144,0.0008,0.0048,0,0
p05051,0.0275,-0.0254,-0.0266,-0.0179,0,0
p05053,0.0292,-0.0285,-0.0287,-0.0192,0,0
p05055,0.034,0.0212,0.0054,0.0095,0,0
p05057,0.0203,-0.0244,-0.0247,-0.0186,0,0
p05059,0.0275,-0.0267,-0.0273,-0.0187,0,0
p05061,0.0194,-0.0232,-0.0237,-0.0182,0,0
p05063,0.0292,-0.0069,-0.0138,-0.0073,0,0
p05065,0.0293,0.0015,-0.0079,-0.0025,0,0
p05067,0.0295,-0.0061,-0.0131,-0.0066,0,0
p05069,0.0288,-0.0273,-0.0279,-0.0187,0,0
p05071,0.024,-0.0122,-0.0171,-0.0113,0,0
p05073,0.0156,-0.0322,-0.0295,-0.0239,0,0
p05075,0.0313,0.0092,-0.0027,0.0023,0,0
p05077,0.0288,-0.0145,-0.0185,-0.0118,0,0
p05079,0.0272,-0.0267,-0.027,-0.0189,0,0
p05081,0.0163,-0.0248,-0.0246,-0.0194,0,0
p05083,0.0229,-0.0176,-0.0204,-0.0143,0,0
p05085,0.0298,-0.0282,-0.0285,-0.019,0,0
p05087,0.0206,-0.0004,-0.0087,-0.0054,0,0
p05089,0.0264,0.0055,-0.0048,-0.0005,0,0
p05091,0.0156,-0.029,-0.0271,-0.0219,0,0
p05093,0.0324,0.0125,-0.0001,0.0042,0,0
p05095,0.0285,-0.0207,-0.023,-0.0152,0,0
p05097,0.0243,-0.0226,-0.024,-0.0168,0,0
p05099,0.0213,-0.0268,-0.0264,-0.0197,0,0
p05101,0.0243,-0.0046,-0.0117,-0.007,0,0
p05103,0.0234,-0.0282,-0.028,-0.0206,0,0
p05105,0.0286,-0.026,-0.0268,-0.018,0,0
p05107,0.028,-0.0176,-0.021,-0.0139,0,0
p05109,0.0223,-0.0236,-0.0245,-0.018,0,0
p05111,0.0301,-0.0002,-0.0087,-0.003,0,0
p05113,0.0189,-0.021,-0.0225,-0.017,0,0
p05115,0.0271,-0.0177,-0.0211,-0.0137,0,0
p05117,0.029,-0.0247,-0.0259,-0.0171,0,0
p05119,0.03,-0.0295,-0.0297,-0.0198,0,0
p05121,0.0339,0.0233,0.0068,0.0105,0,0
p05123,0.0292,-0.0111,-0.0161,-0.0097,0,0
p05125,0.0296,-0.028,-0.0285,-0.0189,0,0
p05127,0.0213,-0.0179,-0.0207,-0.0148,0,0
p05129,0.027,-0.006,-0.0131,-0.0072,0,0
p05131,0.0181,-0.0149,-0.0182,-0.0139,0,0
p05133,0.0173,-0.0233,-0.0237,-0.0185,0,0
p05135,0.0308,0.0103,-0.0018,0.0028,0,0
p05137,0.0286,-0.0071,-0.0137,-0.0074,0,0
p05139,0.021,-0.0305,-0.0286,-0.022,0,0
p05141,0.0284,-0.0174,-0.021,-0.0133,0,0
p05143,0.0168,-0.0017,-0.0094,-0.0067,0,0
p05145,0.029,-0.0222,-0.0245,-0.0158,0,0
p05147,0.0289,-0.0171,-0.0204,-0.0128,0,0
p05149,0.0259,-0.0218,-0.0237,-0.0161,0,0
p06001,0.0967,0.3577,0.2614,0.2373,0,0
p06003,0.0778,0.2878,0.1869,0.1707,0,0
p06005,0.0787,0.2968,0.1912,0.1741,0,0
p06007,0.0814,0.2999,0.1982,0.1794,0,0
p06009,0.0765,0.2924,0.1863,0.1713,0,0
p06011,0.0838,0.3105,0.2073,0.1874,0,0
p06013,0.0952,0.3519,0.2541,0.2305,0,0
p06015,0.0717,0.2397,0.1627,0.1498,0,0
p06017,0.0794,0.2966,0.1919,0.1741,0,0
p06019,0.0757,0.2702,0.1753,0.1613,0,0
p06021,0.0833,0.3058,0.2055,0.1861,0,0
p06023,0.079,0.2779,0.1897,0.1734,0,0
p06025,0.0557,0.1847,0.1185,0.1075,0,0
p06027,0.072,0.2268,0.1467,0.1342,0,0
p06029,0.0729,0.2442,0.1552,0.1434,0,0
p06031,0.0741,0.2576,0.1658,0.153,0,0
p06033,0.0864,0.3182,0.218,0.1973,0,0
p06035,0.0738,0.2591,0.1714,0.1565,0,0
p06037,0.0857,0.2625,0.1735,0.1553,0,0
p06039,0.076,0.28,0.1808,0.1666,0,0
p06041,0.1039,0.3793,0.2864,0.2591,0,0
p06043,0.0757,0.2843,0.1819,0.1682,0,0
p06045,0.0859,0.3131,0.2162,0.1962,0,0
p06047,0.0754,0.2894,0.1844,0.1712,0,0
p06049,0.067,0.2236,0.1489,0.1367,0,0
p06051,0.0759,0.2698,0.1753,0.1606,0,0
p06053,0.0806,0.293,0.1966,0.1803,0,0
p06055,0.0902,0.3337,0.2329,0.2103,0,0
p06057,0.0803,0.2971,0.1938,0.1755,0,0
p06059,0.0867,0.2634,0.1748,0.1559,0,0
p06061,0.0801,0.2978,0.1931,0.1746,0,0
p06063,0.0792,0.2879,0.1902,0.1728,0,0
p06065,0.0668,0.2101,0.1365,0.1233,0,0
p06067,0.0802,0.3015,0.1926,0.1731,0,0
p06069,0.0795,0.2951,0.1955,0.1798,0,0
p06071,0.0696,0.2082,0.135,0.1224,0,0
p06073,0.074,0.2329,0.1526,0.1375,0,0
p06075,0.1095,0.3985,0.3085,0.2785,0,0
p06077,0.0766,0.296,0.1889,0.1743,0,0
p06079,0.0756,0.2614,0.17,0.1563,0,0
p06081,0.1039,0.3801,0.2873,0.2601,0,0
p06083,0.0767,0.254,0.1647,0.1506,0,0
p06085,0.0872,0.3267,0.2265,0.2074,0,0
p06087,0.0904,0.3345,0.2364,0.2158,0,0
p06089,0.0775,0.2743,0.1844,0.1684,0,0
p06091,0.0796,0.2921,0.1916,0.1741,0,0
p06093,0.0714,0.242,0.1632,0.15,0,0
p06095,0.0878,0.3264,0.2234,0.2016,0,0
p06097,0.0937,0.3441,0.2468,0.2234,0,0
p06099,0.073,0.2869,0.1787,0.167,0,0
p06101,0.0813,0.3039,0.1971,0.1773,0,0
p06103,0.0812,0.2948,0.1977,0.1795,0,0
p06105,0.0792,0.2808,0.1906,0.1739,0,0
p06107,0.0729,0.2482,0.1588,0.1466,0,0
p06109,0.0761,0.2867,0.1836,0.1691,0,0
p06111,0.0802,0.2556,0.1665,0.1509,0,0
p06113,0.0822,0.307,0.1999,0.1797,0,0
p06115,0.0811,0.3022,0.1971,0.1778,0,0
p08001,-0.0095,-0.018,-0.0184,-0.0184,0,0
p08003,0.0035,0.0014,-0.0085,-0.0085,0,0
p08005,-0.0094,-0.0183,-0.0187,-0.0187,0,0
p08007,0.0135,0.0204,0.0027,0.0022,0,0
p08009,-0.001,-0.0049,-0.0117,-0.0123,0,0
p08011,-0.0032,-0.0071,-0.0125,-0.0129,0,0
p08013,-0.0094,-0.0177,-0.0181,-0.0181,0,0
p08014,-0.0094,-0.0177,-0.0181,-0.0181,0,0
p08015,-0.0037,-0.0081,-0.0127,-0.0129,0,0
p08017,-0.0054,-0.0096,-0.0134,-0.0138,0,0
p08019,-0.0093,-0.0183,-0.0187,-0.0187,0,0
p08021,0.011,0.0138,-0.0018,-0.002,0,0
p08023,0.0057,0.0041,-0.0073,-0.0073,0,0
p08025,-0.0045,-0.012,-0.0155,-0.0155,0,0
p08027,-0.0024,-0.0075,-0.013,-0.013,0,0
p08029,0.0057,0.0064,-0.0034,-0.004,0,0
