t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,GA,Nuclear,nuclear_r_fsu,r,fsu,371.333333,
2026,GA,Nuclear,nuclear_r_fsu,r,fsu,371.333333,
2020,TN,Nuclear,nuclear_r_fsu,r,fsu,224.4,
2032,TX_ERCOT_E,Nuclear,nuclear_r_fsu,r,fsu,106.666667,
2035,WY,Nuclear,nuclear_r_fsu,r,fsu,115.0,
2050,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,106.430414,
2050,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,650.749803,
2044,AZ,Nuclear,nuclear_r_fsu,r,fsu,248.403968,
2047,AZ,Nuclear,nuclear_r_fsu,r,fsu,438.974107,
2050,AZ,Nuclear,nuclear_r_fsu,r,fsu,434.343433,
2050,DE,Nuclear,nuclear_r_fsu,r,fsu,73.099808,
2044,FL,Nuclear,nuclear_r_fsu,r,fsu,486.925634,
2047,FL,Nuclear,nuclear_r_fsu,r,fsu,990.669683,
2050,FL,Nuclear,nuclear_r_fsu,r,fsu,1439.811373,
2038,GA,Nuclear,nuclear_r_fsu,r,fsu,569.754931,
2047,GA,Nuclear,nuclear_r_fsu,r,fsu,218.46212,
2050,GA,Nuclear,nuclear_r_fsu,r,fsu,452.958459,
2035,IA,Nuclear,nuclear_r_fsu,r,fsu,97.279504,
2038,IA,Nuclear,nuclear_r_fsu,r,fsu,31.66737,
2047,IA,Nuclear,nuclear_r_fsu,r,fsu,24.986217,
2050,IA,Nuclear,nuclear_r_fsu,r,fsu,167.088364,
2038,ID,Nuclear,nuclear_r_fsu,r,fsu,116.063768,
2047,IL_MISO,Nuclear,nuclear_r_fsu,r,fsu,136.801865,
2050,IL_MISO,Nuclear,nuclear_r_fsu,r,fsu,398.964724,
2038,IL_PJM,Nuclear,nuclear_r_fsu,r,fsu,735.333369,
2044,IL_PJM,Nuclear,nuclear_r_fsu,r,fsu,56.321977,
2047,IL_PJM,Nuclear,nuclear_r_fsu,r,fsu,1227.739554,
2038,IN,Nuclear,nuclear_r_fsu,r,fsu,226.982424,
2047,KY,Nuclear,nuclear_r_fsu,r,fsu,231.114572,
2050,KY,Nuclear,nuclear_r_fsu,r,fsu,97.491898,
2050,NC,Nuclear,nuclear_r_fsu,r,fsu,577.228588,
2038,ND,Nuclear,nuclear_r_fsu,r,fsu,34.738253,
2044,ND,Nuclear,nuclear_r_fsu,r,fsu,38.221947,
2047,ND,Nuclear,nuclear_r_fsu,r,fsu,79.28999,
2050,ND,Nuclear,nuclear_r_fsu,r,fsu,191.43291,
2038,NV,Nuclear,nuclear_r_fsu,r,fsu,465.861905,
2044,NV,Nuclear,nuclear_r_fsu,r,fsu,181.387673,
2047,NV,Nuclear,nuclear_r_fsu,r,fsu,288.926576,
2050,NV,Nuclear,nuclear_r_fsu,r,fsu,214.777337,
2038,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,466.932667,
2044,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,569.61111,
2047,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,458.337733,
2047,TN,Nuclear,nuclear_r_fsu,r,fsu,54.522259,
2050,TN,Nuclear,nuclear_r_fsu,r,fsu,393.720853,
2050,TX_MISO,Nuclear,nuclear_r_fsu,r,fsu,249.712648,
2038,UT,Nuclear,nuclear_r_fsu,r,fsu,255.214357,
2044,UT,Nuclear,nuclear_r_fsu,r,fsu,109.941396,
2047,UT,Nuclear,nuclear_r_fsu,r,fsu,125.040332,
2050,UT,Nuclear,nuclear_r_fsu,r,fsu,124.17772,
2044,VA,Nuclear,nuclear_r_fsu,r,fsu,9.476189,
2047,VA,Nuclear,nuclear_r_fsu,r,fsu,2443.262326,
2050,VA,Nuclear,nuclear_r_fsu,r,fsu,522.817216,
2038,WA,Nuclear,nuclear_r_fsu,r,fsu,150.929522,
2035,WI,Nuclear,nuclear_r_fsu,r,fsu,653.925649,
2038,WI,Nuclear,nuclear_r_fsu,r,fsu,328.356617,
2044,WI,Nuclear,nuclear_r_fsu,r,fsu,79.325362,
2047,WI,Nuclear,nuclear_r_fsu,r,fsu,109.827078,
2050,WI,Nuclear,nuclear_r_fsu,r,fsu,347.625924,
