t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,GA,Nuclear,nuclear_r_fsu,r,fsu,371.333333,
2026,GA,Nuclear,nuclear_r_fsu,r,fsu,371.333333,
2020,TN,Nuclear,nuclear_r_fsu,r,fsu,224.4,
2032,TX_ERCOT_E,Nuclear,nuclear_r_fsu,r,fsu,106.666667,
2035,WY,Nuclear,nuclear_r_fsu,r,fsu,115.0,
2050,AZ,Nuclear,nuclear_r_fsu,r,fsu,207.19202,
2047,DE,Nuclear,nuclear_r_fsu,r,fsu,18.384071,
2050,DE,Nuclear,nuclear_r_fsu,r,fsu,198.118312,
2050,FL,Nuclear,nuclear_r_fsu,r,fsu,831.536729,
2050,IA,Nuclear,nuclear_r_fsu,r,fsu,131.448261,
2038,ID,Nuclear,nuclear_r_fsu,r,fsu,365.557591,
2038,IL_PJM,Nuclear,nuclear_r_fsu,r,fsu,644.585978,
2050,ND,Nuclear,nuclear_r_fsu,r,fsu,5.682265,
2038,NV,Nuclear,nuclear_r_fsu,r,fsu,299.353833,
2047,NV,Nuclear,nuclear_r_fsu,r,fsu,50.515515,
2050,NV,Nuclear,nuclear_r_fsu,r,fsu,348.885128,
2038,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,457.172368,
2047,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,298.552943,
2050,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,1103.941624,
2050,UT,Nuclear,nuclear_r_fsu,r,fsu,57.606066,
2047,VA,Nuclear,nuclear_r_fsu,r,fsu,713.018173,
2050,VA,Nuclear,nuclear_r_fsu,r,fsu,1069.010418,
2038,WA,Nuclear,nuclear_r_fsu,r,fsu,102.146332,
2050,WA,Nuclear,nuclear_r_fsu,r,fsu,53.208194,
2035,WI,Nuclear,nuclear_r_fsu,r,fsu,452.65084,
2038,WI,Nuclear,nuclear_r_fsu,r,fsu,65.494856,
2050,WI,Nuclear,nuclear_r_fsu,r,fsu,146.521438,
